Date,S&P500,CAPE
01/09/1910,8.91,12.94
01/10/1910,9.32,13.92
01/11/1910,9.31,14.16
01/12/1910,9.05,13.74
01/01/1911,9.27,14.05
01/02/1911,9.43,14.72
01/03/1911,9.32,14.37
01/04/1911,9.28,14.75
01/05/1911,9.48,15.05
01/06/1911,9.67,15.33
01/07/1911,9.63,15.08
01/08/1911,9.17,13.90
01/09/1911,8.67,13.00
01/10/1911,8.72,13.07
01/11/1911,9.07,13.73
01/12/1911,9.11,13.93
01/01/1912,9.12,13.79
01/02/1912,9.04,13.53
01/03/1912,9.30,13.64
01/04/1912,9.59,13.65
01/05/1912,9.58,13.65
01/06/1912,9.58,13.79
01/07/1912,9.59,13.80
01/08/1912,9.81,13.98
01/09/1912,9.86,13.93
01/10/1912,9.84,13.91
01/11/1912,9.73,13.75
01/12/1912,9.38,13.39
01/01/1913,9.30,13.15
01/02/1913,8.97,12.68
01/03/1913,8.80,12.44
01/04/1913,8.79,12.43
01/05/1913,8.55,12.22
01/06/1913,8.12,11.49
01/07/1913,8.23,11.53
01/08/1913,8.45,11.85
01/09/1913,8.53,11.84
01/10/1913,8.26,11.47
01/11/1913,8.05,11.07
01/12/1913,8.04,11.17
01/01/1914,8.37,11.64
01/02/1914,8.48,11.91
01/03/1914,8.32,11.69
01/04/1914,8.12,11.52
01/05/1914,8.17,11.48
01/06/1914,8.13,11.43
01/07/1914,7.68,10.69
01/08/1914,7.68,10.49
01/09/1914,7.68,10.50
01/10/1914,7.68,10.61
01/11/1914,7.68,10.52
01/12/1914,7.35,10.17
01/01/1915,7.48,10.36
01/02/1915,7.38,10.33
01/03/1915,7.57,10.71
01/04/1915,8.14,11.40
01/05/1915,7.95,11.03
01/06/1915,8.04,11.15
01/07/1915,8.01,11.11
01/08/1915,8.35,11.58
01/09/1915,8.66,12.01
01/10/1915,9.14,12.55
01/11/1915,9.46,12.86
01/12/1915,9.48,12.88
01/01/1916,9.33,12.54
01/02/1916,9.20,12.35
01/03/1916,9.17,12.18
01/04/1916,9.07,11.91
01/05/1916,9.27,12.03
01/06/1916,9.36,12.00
01/07/1916,9.23,11.79
01/08/1916,9.30,11.73
01/09/1916,9.68,11.94
01/10/1916,9.98,12.05
01/11/1916,10.21,12.05
01/12/1916,9.80,11.41
01/01/1917,9.57,10.99
01/02/1917,9.03,10.06
01/03/1917,9.31,10.33
01/04/1917,9.17,9.64
01/05/1917,8.86,9.14
01/06/1917,9.04,9.15
01/07/1917,8.79,9.00
01/08/1917,8.53,8.57
01/09/1917,8.12,7.95
01/10/1917,7.68,7.39
01/11/1917,7.04,6.75
01/12/1917,6.80,6.41
01/01/1918,7.21,6.64
01/02/1918,7.43,6.78
01/03/1918,7.28,6.69
01/04/1918,7.21,6.52
01/05/1918,7.44,6.58
01/06/1918,7.45,6.50
01/07/1918,7.51,6.37
01/08/1918,7.58,6.30
01/09/1918,7.54,6.15
01/10/1918,7.86,6.29
01/11/1918,8.06,6.33
01/12/1918,7.90,6.13
01/01/1919,7.85,6.10
01/02/1919,7.88,6.24
01/03/1919,8.12,6.36
01/04/1919,8.39,6.46
01/05/1919,8.97,6.83
01/06/1919,9.21,7.02
01/07/1919,9.51,7.05
01/08/1919,8.87,6.48
